"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 07 08:32:44 GMT 2023","Tue Feb 07 08:33:00 GMT 2023","16015","","My horse details table","","My horse details table","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:33:40 GMT 2023","Tue Feb 07 08:33:48 GMT 2023","8466","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Tue Feb 07 08:32:39 GMT 2023","Tue Feb 07 08:32:53 GMT 2023","14086","","My horse details table","","My horse details table","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:34:18 GMT 2023","Tue Feb 07 08:34:30 GMT 2023","12633","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 08:33:31 GMT 2023","Tue Feb 07 08:33:40 GMT 2023","8709","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 08:33:58 GMT 2023","Tue Feb 07 08:34:08 GMT 2023","10042","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 08:34:01 GMT 2023","Tue Feb 07 08:34:13 GMT 2023","12134","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 08:33:49 GMT 2023","Tue Feb 07 08:33:58 GMT 2023","9410","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 08:32:53 GMT 2023","Tue Feb 07 08:33:26 GMT 2023","32885","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 08:33:00 GMT 2023","Tue Feb 07 08:33:34 GMT 2023","34303","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
